Scenario,Total Cost,Emissions,Emission Cost,Effective Cost
EUA160,36565865.34,73998.29,11839726.76,24726138.58
s1          ,17449018.62,310000,1834182.25,15614836.37
s2          ,17582040.87,290000,1718150.62,15863890.25
s3          ,17758154.39,270000,1599613.6,16158540.79
s4          ,17967819.71,250000,1482636.85,16485182.86
s5          ,18226832.31,230000,1362914.56,16863917.75
s6          ,18553157.49,210000,1246233.1,17306924.39
s7          ,19024149.18,190000,1129364.67,17894784.51
s8          ,19609195.86,170000,1009683.16,18599512.7
s9          ,20269960.94,150000,891754.21,19378206.73
s10         ,21065706.54,130000,774290.22,20291416.32
s11         ,22048343.39,110000,658222.07,21390121.32
s12,23399710.17,90000,540872.81,22858837.36
s13,25866808.68,70000,423623.79,25443184.89
s14,33875183.48,50000,303411.2,33571772.28
